filename,width,height,class,xmin,ymin,xmax,ymax
won174.jpg,150,159,won,23,24,136,140
won216.jpg,150,159,won,23,24,137,138
won158.jpg,160,162,won,5,7,156,156
won471.jpg,170,250,won,61,14,155,117
us1cent (106).jpg,180,195,dollar_cent_1,34,32,155,153
won162.jpg,201,198,won,20,21,185,186
won330.jpg,201,232,won,23,20,87,83
389.coins.jpg,220,160,yen,117,26,214,128
us1cent (103).jpg,226,170,dollar_cent_1,13,4,168,127
167.2000080332638.jpg,250,321,yen,22,92,244,255
won294.jpg,280,187,won,51,1,121,65
57.old500_pc.jpg,280,285,yen,3,6,274,276
won567.jpg,282,144,won,23,8,140,123
8.1-Euro.jpg,290,300,euro_1,3,12,279,292
45.s-l300.jpg,296,300,euro_cent_1,28,36,273,276
won327.jpg,299,148,won,4,2,145,141
us1cent (126).jpg,299,300,dollar_cent_1,6,11,74,79
won454.jpg,300,148,won,3,1,151,147
88.944283_a.jpg,300,150,koruna,1,1,299,150
us1cent (110).jpg,300,150,dollar_cent_1,5,5,146,143
321.AS20190712001883_commL.jpg,300,163,yen,162,13,227,79
61.s-l300.jpg,300,172,koruna,3,4,261,120
72.s-l300.jpg,300,172,koruna,3,4,263,121
won172.jpg,300,219,won,226,152,270,193
us1cent (46).jpg,300,225,dollar_cent_1,32,62,138,161
won105.jpg,300,287,won,65,61,244,241
59.s-l300.jpg,300,291,euro_cent_1,152,2,287,137
won240.jpg,300,294,won,60,61,233,233
11.1-Euro-2nd-map.jpg,300,296,euro_1,5,1,300,292
165.300px-Japan_1983_500_yen_rev_DSLR.jpg,300,300,yen,6,5,300,297
3.1-Euro.jpg,300,300,euro_1,1,1,300,296
308.300px-Japan_1983_500_yen_obv_DSLR.jpg,300,300,yen,5,5,299,296
us1cent (129).jpg,300,300,dollar_cent_1,15,16,284,288
won094.jpg,300,300,won,16,13,286,286
won256.jpg,300,300,won,13,12,288,289
won288.jpg,300,300,won,14,16,279,280
won380.jpg,300,300,won,16,12,289,289
won556.jpg,300,300,won,13,14,289,288
61.2009-Czech-Republic-500-Koruna-unc.jpg,300,400,koruna,13,154,288,279
won552.jpg,312,315,won,11,10,151,149
47.d13279a46925dbc9137d89870bcc6e5f.jpg,313,168,euro_cent_1,5,9,157,168
60.s62-500.jpg,320,316,yen,26,20,308,302
71.24193689658_3150167e5e_n.jpg,320,320,euro_cent_1,4,4,320,319
won218.jpg,320,320,won,6,18,315,315
won241.jpg,320,320,won,125,124,202,193
won270.jpg,334,154,won,16,7,160,149
won518.jpg,334,154,won,15,8,158,149
won452.jpg,337,822,won,54,660,147,754
377.476555472.jpg,339,509,yen,167,223,300,312
94.892249682.jpg,339,509,euro_1,182,192,313,322
325.il_340x270.2030648760_3j86.jpg,340,270,yen,1,1,340,270
us1cent (42).jpg,342,315,dollar_cent_1,31,25,199,186
us1cent (58).jpg,342,342,dollar_cent_1,28,14,314,308
won531.jpg,342,347,won,13,9,335,335
won342.jpg,350,305,won,6,7,60,64
won366.jpg,350,305,won,5,6,63,64
us1cent (32).jpg,350,350,dollar_cent_1,3,8,350,338
